Site,Plot,Collar,Distance_m,Tag,No_tag_species,No_tag_DBH,Date
SERC,HSME,81,3.9,806,,,6/12/18
SERC,HSME,81,3.9,807,,,6/12/18
SERC,HSME,81,7.0,817,,,6/12/18
SERC,HSME,81,4.2,816,,,6/12/18
SERC,HSME,81,6.8,850,,,6/12/18
SERC,HSME,81,7.5,851,,,6/12/18
SERC,HSME,81,6.5,849,,,6/12/18
SERC,HSME,81,8.5,839,,,6/12/18
SERC,HSME,81,3.5,815,,,6/12/18
SERC,HSME,81,5.2,814,,,6/12/18
SERC,HSME,81,7.0,813,,,6/12/18
SERC,HSME,81,9.1,812,,,6/12/18
SERC,HSME,81,7.8,810,,,6/12/18
SERC,HSME,81,6.5,809,,,6/12/18
SERC,HSME,81,3.2,808,,,6/12/18
SERC,HSME,81,8.5,801,,,6/12/18
SERC,HSME,81,8.5,802,,,6/12/18
SERC,HSME,81,5.6,803,,,6/12/18
SERC,HSME,81,5.6,811,,,6/12/18
SERC,HSME,81,8.3,804,,,6/12/18
SERC,HSHE,88,2.1,931,,,6/12/18
SERC,HSHE,88,5.7,932,,,6/12/18
SERC,HSHE,88,7.0,933,,,6/12/18
SERC,HSHE,88,7.2,902,,,6/12/18
SERC,HSHE,88,1.9,930,,,6/12/18
SERC,HSHE,88,6.7,905,,,6/12/18
SERC,HSHE,88,7.4,904,,,6/12/18
SERC,HSHE,88,9.8,,ACRU,19.2,6/12/18
SERC,HSHE,88,7.0,929,,,6/12/18
SERC,HSHE,88,8.4,928,,,6/12/18
SERC,HSHE,88,9.0,927,,,6/12/18
SERC,HSHE,88,10.0,924,,,6/12/18
SERC,HSHE,88,9.4,945,,,6/12/18
SERC,HSHE,88,3.0,941,,,6/12/18
SERC,HSHE,88,7.2,942,,,6/12/18
SERC,HSHE,85,7.9,930,,,7/26/18
SERC,HSHE,85,1.8,929,,,7/26/18
SERC,HSHE,85,9.6,905,,,7/26/18
SERC,HSHE,85,9.4,,?,8.3,7/26/18
SERC,HSHE,85,1.8,927,,,7/26/18
SERC,HSHE,85,7.6,906,,,7/26/18
SERC,HSHE,85,8.5,,TP,52,7/26/18
SERC,HSHE,85,3.8,926,,,7/26/18
SERC,HSHE,85,6.7,907,,,7/26/18
SERC,HSHE,85,9.9,,maple?,14.4,7/26/18
SERC,HSHE,85,9.5,919,,,7/26/18
SERC,HSHE,85,9.9,918,,,7/26/18
SERC,HSHE,85,9.5,922,,,7/26/18
SERC,HSHE,85,3.0,924,,,7/26/18
SERC,HSHE,85,4.2,925,,,7/26/18
SERC,HSHE,85,5.0,945,,,7/26/18
SERC,HSHE,85,6.8,923,,,7/26/18
SERC,HSHE,85,5.7,944,,,7/26/18
SERC,HSHE,85,7.6,943,,,7/26/18
SERC,HSHE,85,8.2,942,,,7/26/18
SERC,HSHE,85,6.9,941,,,7/26/18
SERC,HSHE,86,3.7,941,,,7/26/18
SERC,HSHE,86,1.9,930,,,7/26/18
SERC,HSHE,86,7.7,932,,,7/26/18
SERC,HSHE,86,8.9,902,,,7/26/18
SERC,HSHE,86,8.7,933,,,7/26/18
SERC,HSHE,86,5.5,905,,,7/26/18
SERC,HSHE,86,6.1,904,,,7/26/18
SERC,HSHE,86,8.2,,maple?,19.7,7/26/18
SERC,HSHE,86,8.0,,?,8.3,7/26/18
SERC,HSHE,86,9.2,906,,,7/26/18
SERC,HSHE,86,8.9,926,,,7/26/18
SERC,HSHE,86,6.6,927,,,7/26/18
SERC,HSHE,86,5.8,928,,,7/26/18
SERC,HSHE,86,4.6,929,,,7/26/18
SERC,HSHE,86,8.2,924,,,7/26/18
SERC,HSHE,86,8.8,925,,,7/26/18
SERC,HSHE,86,8.8,945,,,7/26/18
SERC,HSHE,86,8.8,944,,,7/26/18
SERC,HSHE,86,9.4,943,,,7/26/18
SERC,HSHE,86,7.8,942,,,7/26/18
SERC,HSHE,87,6.9,930,,,7/26/18
SERC,HSHE,87,6.2,905,,,7/26/18
SERC,HSHE,87,6.5,904,,,7/26/18
SERC,HSHE,87,6.7,,maple?,19.7,7/26/18
SERC,HSHE,87,4.7,,SG,8.3,7/26/18
SERC,HSHE,87,6.4,,?,14.5,7/26/18
SERC,HSHE,87,7.1,,TP,49,7/26/18
SERC,HSHE,87,3.9,906,,,7/26/18
SERC,HSHE,87,5.5,,TP,52,7/26/18
SERC,HSHE,87,5.6,907,,,7/26/18
SERC,HSHE,87,8.3,,?,13.5,7/26/18
SERC,HSHE,87,8.6,,?,6.9,7/26/18
SERC,HSHE,87,9.6,,?,5.6,7/26/18
SERC,HSHE,87,5.0,926,,,7/26/18
SERC,HSHE,87,3.9,927,,,7/26/18
SERC,HSHE,87,3.6,928,,,7/26/18
SERC,HSHE,87,3.5,929,,,7/26/18
SERC,HSHE,87,7.7,924,,,7/26/18
SERC,HSHE,87,8.9,925,,,7/26/18
SERC,HSHE,87,8.6,941,,,7/26/18
SERC,HSHE,87,10.0,931,,,7/26/18
SERC,HSME,82,3.4,803,,,7/26/18
SERC,HSME,82,4.6,802,,,7/26/18
SERC,HSME,82,9.2,,?,53.5,7/26/18
SERC,HSME,82,3.9,801,,,7/26/18
SERC,HSME,82,9.7,938,,,7/26/18
SERC,HSME,82,3.3,809,,,7/26/18
SERC,HSME,82,8.9,940,,,7/26/18
SERC,HSME,82,6.6,810,,,7/26/18
SERC,HSME,82,9.1,812,,,7/26/18
SERC,HSME,82,7.4,813,,,7/26/18
SERC,HSME,82,6.0,814,,,7/26/18
SERC,HSME,82,5.9,815,,,7/26/18
SERC,HSME,82,9.7,849,,,7/26/18
SERC,HSME,82,1.6,808,,,7/26/18
SERC,HSME,82,9.1,816,,,7/26/18
SERC,HSME,82,7.6,807,,,7/26/18
SERC,HSME,82,7.6,806,,,7/26/18
SERC,HSME,82,5.1,811,,,7/26/18
SERC,HSME,82,9.0,804,,,7/26/18
SERC,HSME,83,3.3,808,,,7/26/18
SERC,HSME,83,6.7,803,,,7/26/18
SERC,HSME,83,8.6,802,,,7/26/18
SERC,HSME,83,6.9,801,,,7/26/18
SERC,HSME,83,4.0,809,,,7/26/18
SERC,HSME,83,4.6,810,,,7/26/18
SERC,HSME,83,2.3,814,,,7/26/18
SERC,HSME,83,4.0,813,,,7/26/18
SERC,HSME,83,6.2,812,,,7/26/18
SERC,HSME,83,2.0,815,,,7/26/18
SERC,HSME,83,5.7,849,,,7/26/18
SERC,HSME,83,7.5,839,,,7/26/18
SERC,HSME,83,7.3,850,,,7/26/18
SERC,HSME,83,7.8,857,,,7/26/18
SERC,HSME,83,6.6,816,,,7/26/18
SERC,HSME,83,10.0,817,,,7/26/18
SERC,HSME,83,7.2,807,,,7/26/18
SERC,HSME,83,7.2,806,,,7/26/18
SERC,HSME,83,7.6,811,,,7/26/18
SERC,HSME,84,4.2,816,,,7/26/18
SERC,HSME,84,8.3,807,,,7/26/18
SERC,HSME,84,8.5,806,,,7/26/18
SERC,HSME,84,7.0,815,,,7/26/18
SERC,HSME,84,8.9,814,,,7/26/18
SERC,HSME,84,9.5,813,,,7/26/18
SERC,HSME,84,4.6,849,,,7/26/18
SERC,HSME,84,2.7,850,,,7/26/18
SERC,HSME,84,2.1,851,,,7/26/18
SERC,HSME,84,5.3,839,,,7/26/18
SERC,HSME,84,6.7,841,,,7/26/18
SERC,HSME,84,6.7,840,,,7/26/18
SERC,HSME,84,8.8,848,,,7/26/18
SERC,HSME,84,3.6,843,,,7/26/18
SERC,HSME,84,6.3,833,,,7/26/18
SERC,HSME,84,9.1,854,,,7/26/18
SERC,HSME,84,3.4,837,,,7/26/18
SERC,HSME,84,4.5,838,,,7/26/18
SERC,HSME,84,7.4,836,,,7/26/18
SERC,HSME,84,8.9,835,,,7/26/18
SERC,HSME,84,7.4,822,,,7/26/18
SERC,HSME,84,6.6,842,,,7/26/18
SERC,HSME,84,9.7,819,,,7/26/18
SERC,HSME,84,9.3,818,,,7/26/18
SERC,HSME,84,4.9,817,,,7/26/18
SERC,HSLE,69,3.8,709,,,7/26/18
SERC,HSLE,69,6.5,708,,,7/26/18
SERC,HSLE,69,6.7,707,,,7/26/18
SERC,HSLE,69,6.3,710,,,7/26/18
SERC,HSLE,69,6.8,711,,,7/26/18
SERC,HSLE,69,7.8,712,,,7/26/18
SERC,HSLE,69,8.7,716,,,7/26/18
SERC,HSLE,69,6.2,717,,,7/26/18
SERC,HSLE,69,7.8,726,,,7/26/18
SERC,HSLE,69,9.1,720,,,7/26/18
SERC,HSLE,69,8.6,719,,,7/26/18
SERC,HSLE,69,8.5,721,,,7/26/18
SERC,HSLE,69,7.2,,?,60.3,7/26/18
SERC,HSLE,69,7.3,,?,19,7/26/18
SERC,HSLE,69,4.1,718,,,7/26/18
SERC,HSLE,69,5.3,,?,14.5,7/26/18
SERC,HSLE,70,5.8,717,,,7/26/18
SERC,HSLE,70,5.9,726,,,7/26/18
SERC,HSLE,70,6.0,723,,,7/26/18
SERC,HSLE,70,8.0,724,,,7/26/18
SERC,HSLE,70,5.3,722,,,7/26/18
SERC,HSLE,70,9.1,,?,16.5,7/26/18
SERC,HSLE,70,8.0,,?,4.8,7/26/18
SERC,HSLE,70,8.6,,?,16.5,7/26/18
SERC,HSLE,70,3.9,720,,,7/26/18
SERC,HSLE,70,3.6,719,,,7/26/18
SERC,HSLE,70,3.4,721,,,7/26/18
SERC,HSLE,70,4.5,,?,60.3,7/26/18
SERC,HSLE,70,5.5,,?,19,7/26/18
SERC,HSLE,70,5.0,718,,,7/26/18
SERC,HSLE,70,7.7,,?,14.5,7/26/18
SERC,HSLE,70,7.9,709,,,7/26/18
SERC,HSLE,71,1.3,709,,,7/26/18
SERC,HSLE,71,4.6,708,,,7/26/18
SERC,HSLE,71,9.8,706,,,7/26/18
SERC,HSLE,71,7.0,707,,,7/26/18
SERC,HSLE,71,8.1,710,,,7/26/18
SERC,HSLE,71,9.0,711,,,7/26/18
SERC,HSLE,71,9.1,717,,,7/26/18
SERC,HSLE,71,9.7,720,,,7/26/18
SERC,HSLE,71,9.1,719,,,7/26/18
SERC,HSLE,71,8.9,721,,,7/26/18
SERC,HSLE,71,6.4,,?,60.3,7/26/18
SERC,HSLE,71,2.9,718,,,7/26/18
SERC,HSLE,71,5.5,,?,19,7/26/18
SERC,HSLE,71,2.1,,?,14.5,7/26/18
SERC,HSLE,72,3.3,708,,,7/26/18
SERC,HSLE,72,7.1,706,,,7/26/18
SERC,HSLE,72,2.5,707,,,7/26/18
SERC,HSLE,72,7.4,705,,,7/26/18
SERC,HSLE,72,4.4,710,,,7/26/18
SERC,HSLE,72,5.5,711,,,7/26/18
SERC,HSLE,72,7.2,712,,,7/26/18
SERC,HSLE,72,9.8,713,,,7/26/18
SERC,HSLE,72,9.6,717,,,7/26/18
SERC,HSLE,72,7.1,718,,,7/26/18
SERC,HSLE,72,6.1,,?,19,7/26/18
SERC,HSLE,72,4.0,709,,,7/26/18
SERC,HSLE,72,11.1,716,,,11/20/18
SERC,HSLE,72,11.6,726,,,11/20/18
SERC,HSLE,72,15.0,723,,,11/20/18
SERC,HSLE,72,12.4,721,,,11/20/18
SERC,HSLE,72,12.6,719,,,11/20/18
SERC,HSLE,72,13.1,720,,,11/20/18
SERC,HSLE,72,15.0,722,,,11/20/18
SERC,HSLE,72,10.5,,LIST,60.5,11/20/18
SERC,HSLE,72,11.1,,ILOP,5.6,11/20/18
SERC,HSLE,72,14.2,,NYSY,10.6,11/20/18
SERC,HSLE,72,11.0,,NYSY,20,11/20/18
SERC,HSLE,72,13.3,,NYSY,20.8,11/20/18
SERC,HSLE,72,13.5,,NYSY,14.2,11/20/18
SERC,HSLE,72,10.3,,NYSY,19.5,11/20/18
SERC,HSLE,72,10.4,,LIST,17.6,11/20/18
SERC,HSLE,72,11.5,,LIST,34.3,11/20/18
SERC,HSLE,72,14.5,,LIST,35.8,11/20/18
SERC,HSLE,72,12.8,,LIST,16.3,11/20/18
SERC,HSLE,72,13.4,,QU??,21.7,11/20/18
SERC,HSLE,72,14.3,,QU??,9,11/20/18
SERC,HSLE,72,14.9,,LIST,28.8,11/20/18
SERC,HSLE,72,13.7,,ACRU,44.7,11/20/18
SERC,HSLE,72,9.7,713,,,11/20/18
SERC,HSLE,72,12.5,,CACA,10.8,11/20/18
SERC,HSLE,71,11.8,716,,,11/20/18
SERC,HSLE,71,10.1,712,,,11/20/18
SERC,HSLE,71,14.0,713,,,11/20/18
SERC,HSLE,71,10.7,705,,,11/20/18
SERC,HSLE,71,11.5,,LIST,17.6,11/20/18
SERC,HSLE,71,11.5,,LIST,34.3,11/20/18
SERC,HSLE,71,14.8,,QU??,35.5,11/20/18
SERC,HSLE,71,14.1,,LIST,16.3,11/20/18
SERC,HSLE,71,12.8,,NYSY,11.1,11/20/18
SERC,HSLE,71,14.0,,NYSY,17.3,11/20/18
SERC,HSLE,71,14.0,,NYSY,4.9,11/20/18
SERC,HSLE,71,14.6,,QU??,16.7,11/20/18
SERC,HSLE,71,11.6,722,,,11/20/18
SERC,HSLE,71,14.2,724,,,11/20/18
SERC,HSLE,71,12.7,723,,,11/20/18
SERC,HSLE,71,10.6,726,,,11/20/18
SERC,HSLE,71,11.7,716,,,11/20/18
SERC,HSLE,70,13.1,747,,,11/20/18
SERC,HSLE,70,13.4,745,,,11/20/18
SERC,HSLE,70,12.5,744,,,11/20/18
SERC,HSLE,70,13.3,739,,,11/20/18
SERC,HSLE,70,12.2,738,,,11/20/18
SERC,HSLE,70,10.6,725,,,11/20/18
SERC,HSLE,70,14.3,737,,,11/20/18
SERC,HSLE,70,11.8,712,,,11/20/18
SERC,HSLE,70,11.4,711,,,11/20/18
SERC,HSLE,70,10.9,710,,,11/20/18
SERC,HSLE,70,11.9,707,,,11/20/18
SERC,HSLE,70,10.8,708,,,11/20/18
SERC,HSLE,70,11.7,,NYSY,13.5,11/20/18
SERC,HSLE,70,12.0,,NYSY,7.5,11/20/18
SERC,HSLE,70,14.6,,LIST,27.8,11/20/18
SERC,HSLE,70,14.4,,NYSY,19.5,11/20/18
SERC,HSLE,70,10.3,,NYSY,20.8,11/20/18
SERC,HSLE,70,12.6,,QU??,17.1,11/20/18
SERC,HSLE,70,13.3,,LIST,7,11/20/18
SERC,HSLE,70,10.1,,NYSY,3.7,11/20/18
SERC,HSLE,70,12.2,,LIST,1.7,11/20/18
SERC,HSLE,69,13.0,713,,,11/20/18
SERC,HSLE,69,11.4,705,,,11/20/18
SERC,HSLE,69,11.2,706,,,11/20/18
SERC,HSLE,69,13.8,,LIST,17.6,11/20/18
SERC,HSLE,69,11.2,,LIST,27.7,11/20/18
SERC,HSLE,69,14.5,,LIST,34.4,11/20/18
SERC,HSLE,69,11.5,,LIST,19.5,11/20/18
SERC,HSLE,69,11.3,,NYSY,20.9,11/20/18
SERC,HSLE,69,11.6,,NYSY,14.3,11/20/18
SERC,HSLE,69,11.1,,NYSY,10.4,11/20/18
SERC,HSLE,69,12.5,,NYSY,11.1,11/20/18
SERC,HSLE,69,13.4,,LIST,17.4,11/20/18
SERC,HSLE,69,12.8,,NYSY,4.8,11/20/18
SERC,HSLE,69,14.2,,QU??,17.1,11/20/18
SERC,HSLE,69,10.6,722,,,11/20/18
SERC,HSLE,69,10.8,723,,,11/20/18
SERC,HSLE,69,12.7,724,,,11/20/18
SERC,HSLE,69,13.2,725,,,11/20/18
SERC,HSME,81,13.8,,QUMO,60.7,11/20/18
SERC,HSME,81,14.2,701,,,11/20/18
SERC,HSME,81,11.2,805,,,11/20/18
SERC,HSME,81,13.8,702,,,11/20/18
SERC,HSME,81,11.0,818,,,11/20/18
SERC,HSME,81,12.3,819,,,11/20/18
SERC,HSME,81,14.1,730,,,11/20/18
SERC,HSME,81,12.4,842,,,11/20/18
SERC,HSME,81,13.7,822,,,11/20/18
SERC,HSME,81,11.4,838,,,11/20/18
SERC,HSME,81,14.6,836,,,11/20/18
SERC,HSME,82,12.8,805,,,11/20/18
SERC,HSME,82,15.0,818,,,11/20/18
SERC,HSME,82,11.7,817,,,11/20/18
SERC,HSME,82,10.6,850,,,11/20/18
SERC,HSME,82,11.5,857,,,11/20/18
SERC,HSME,82,14.3,843,,,11/20/18
SERC,HSME,82,11.3,839,,,11/20/18
SERC,HSME,82,14.7,841,,,11/20/18
SERC,HSME,82,10.1,939,,,11/20/18
SERC,HSME,82,14.5,,,31.9,11/20/18
SERC,HSME,82,11.0,,FAGR,7.9,11/20/18
SERC,HSME,82,12.5,,QUAL,27.2,11/20/18
SERC,HSME,82,12.5,,QUMO,60.7,11/20/18
SERC,HSME,82,14.6,701,,,11/20/18
SERC,HSME,83,10.7,804,,,11/20/18
SERC,HSME,83,14.3,805,,,11/20/18
SERC,HSME,83,14.1,818,,,11/20/18
SERC,HSME,83,14.6,842,,,11/20/18
SERC,HSME,83,12.9,838,,,11/20/18
SERC,HSME,83,11.8,837,,,11/20/18
SERC,HSME,83,14.4,833,,,11/20/18
SERC,HSME,83,10.4,843,,,11/20/18
SERC,HSME,83,10.7,841,,,11/20/18
SERC,HSME,83,10.8,840,,,11/20/18
SERC,HSME,83,11.6,848,,,11/20/18
SERC,HSME,83,13.9,943,,,11/20/18
SERC,HSME,83,12.5,942,,,11/20/18
SERC,HSME,83,10.1,939,,,11/20/18
SERC,HSME,83,11.6,938,,,11/20/18
SERC,HSME,83,12.2,,QUAL,27.2,11/20/18
SERC,HSME,83,13.4,,FAGR,7.9,11/20/18
SERC,HSME,83,12.6,,QURU,52.8,11/20/18
SERC,HSME,84,10.2,730,,,11/20/18
SERC,HSME,84,10.5,820,,,11/20/18
SERC,HSME,84,12.3,727,,,11/20/18
SERC,HSME,84,14.1,728,,,11/20/18
SERC,HSME,84,15.0,729,,,11/20/18
SERC,HSME,84,11.1,823,,,11/20/18
SERC,HSME,84,10.2,824,,,11/20/18
SERC,HSME,84,11.8,825,,,11/20/18
SERC,HSME,84,14.5,853,,,11/20/18
SERC,HSME,84,14.7,852,,,11/20/18
SERC,HSME,84,10.4,844,,,11/20/18
SERC,HSME,84,10.6,846,,,11/20/18
SERC,HSME,84,11.3,845,,,11/20/18
SERC,HSME,84,13.9,847,,,11/20/18
SERC,HSME,84,14.3,943,,,11/20/18
SERC,HSME,84,14.7,942,,,11/20/18
SERC,HSME,84,10.6,812,,,11/20/18
SERC,HSME,84,11.5,810,,,11/20/18
SERC,HSME,84,12.2,809,,,11/20/18
SERC,HSME,84,15.0,801,,,11/20/18
SERC,HSME,84,10.4,808,,,11/20/18
SERC,HSME,84,12.9,803,,,11/20/18
SERC,HSME,84,12.5,811,,,11/20/18
SERC,HSME,84,14.3,804,,,11/20/18
SERC,HSHE,88,10.5,812,,,11/20/18
SERC,HSHE,88,13.0,813,,,11/20/18
SERC,HSHE,88,14.3,814,,,11/20/18
SERC,HSHE,88,11.8,810,,,11/20/18
SERC,HSHE,88,14.8,938,,,11/20/18
